,kingdom,btk,phylum,btp,class,btc,order,bto,family,btf,genus,btg,abundance
Otu00598,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Gammaproteobacteria_Incertae_Sedis,100,Unknown_Family,100,uncultured,100,598
Otu00599,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,598
Otu00600,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,596
Otu00601,Bacteria,100,Halanaerobiaeota,100,Halanaerobiia,100,Halanaerobiales,100,Halobacteroidaceae,100,Orenia,100,595
Otu00602,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,Legionella,100,595
Otu00603,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,594
Otu00604,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_unclassified,100,Peptostreptococcales-Tissierellales_unclassified,100,594
Otu00605,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Aerococcaceae,100,Globicatella,100,591
Otu00606,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Micrococcales,100,Brevibacteriaceae,100,Brevibacterium,100,584
Otu00607,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_fa,100,Gottschalkia,51,584
Otu00608,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,Legionella,100,583
Otu00609,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,582
Otu00610,Bacteria,100,Cyanobacteria,100,Cyanobacteriia,100,Cyanobacteriia_unclassified,100,Cyanobacteriia_unclassified,100,Cyanobacteriia_unclassified,100,580
Otu00611,Bacteria,100,Firmicutes,100,Thermoanaerobacteria,100,Caldicellulosiruptorales,100,Caldicellulosiraptoraceae,100,Caldicellulosiruptor,100,579
Otu00612,Bacteria,100,Cyanobacteria,100,Vampirivibrionia,100,Gastranaerophilales,100,Gastranaerophilales_fa,100,Gastranaerophilales_ge,100,579
Otu00613,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,77,578
Otu00614,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,572
Otu00615,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,98,569
Otu00616,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_fa,100,Anaeromicrobium,99,567
Otu00617,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Ardenticatenales,100,uncultured,100,uncultured_ge,100,566
Otu00519,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,100,562
Otu00618,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,uncultured,100,562
Otu00619,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Sphingomonas,92,560
Otu00620,Bacteria,100,Firmicutes,100,Desulfitobacteriia,100,Desulfitobacteriales,100,Desulfitobacteriaceae,100,Desulfosporosinus,100,557
Otu00621,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,96,557
Otu00622,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rubripirellula,100,556
Otu00623,Bacteria,100,Firmicutes,100,Bacilli,100,Izemoplasmatales,100,Izemoplasmatales_fa,100,Izemoplasmatales_ge,100,553
Otu00624,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,60,551
Otu00625,Bacteria,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,551
Otu00626,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Moraxellaceae,100,Psychrobacter,100,550
Otu00627,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridiaceae_unclassified,97,550
Otu00628,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcaceae,100,Peptoclostridium,100,549
Otu00629,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,549
Otu00630,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,92,548
